,Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Speed
2004-01-01 00:30:00-07:00,2004,1,1,0,30,0,0,0,0,3
2004-01-01 01:30:00-07:00,2004,1,1,1,30,0,0,0,0,3
2004-01-01 02:30:00-07:00,2004,1,1,2,30,0,0,0,0,2.8
2004-01-01 03:30:00-07:00,2004,1,1,3,30,0,0,0,0,2.6
2004-01-01 04:30:00-07:00,2004,1,1,4,30,0,0,0,0,2.4
2004-01-01 05:30:00-07:00,2004,1,1,5,30,-1,0,0,0,2.4
2004-01-01 06:30:00-07:00,2004,1,1,6,30,-1,0,0,0,2.4
2004-01-01 07:30:00-07:00,2004,1,1,7,30,0,14,0,14,2.5
2004-01-01 08:30:00-07:00,2004,1,1,8,30,2,71,239,118,2.5
2004-01-01 09:30:00-07:00,2004,1,1,9,30,6,132,273,222,2.4
2004-01-01 10:30:00-07:00,2004,1,1,10,30,9,171,357,322,2.7
2004-01-01 11:30:00-07:00,2004,1,1,11,30,10,172,485,402,2.8
2004-01-01 12:30:00-07:00,2004,1,1,12,30,11,65,907,497,3
2004-01-01 13:30:00-07:00,2004,1,1,13,30,12,121,602,379,3
2004-01-01 14:30:00-07:00,2004,1,1,14,30,10,139,239,220,2.4
2004-01-01 15:30:00-07:00,2004,1,1,15,30,7,40,723,187,2
2004-01-01 16:30:00-07:00,2004,1,1,16,30,5,28,0,28,2.6
2004-01-01 17:30:00-07:00,2004,1,1,17,30,4,0,0,0,3
2004-01-01 18:30:00-07:00,2004,1,1,18,30,3,0,0,0,3.1
2004-01-01 19:30:00-07:00,2004,1,1,19,30,3,0,0,0,3.1
2004-01-01 20:30:00-07:00,2004,1,1,20,30,3,0,0,0,3.1
2004-01-01 21:30:00-07:00,2004,1,1,21,30,3,0,0,0,3.2
2004-01-01 22:30:00-07:00,2004,1,1,22,30,2,0,0,0,3.4
2004-01-01 23:30:00-07:00,2004,1,1,23,30,2,0,0,0,3.7
2004-01-02 00:30:00-07:00,2004,1,2,0,30,3,0,0,0,3.9
2004-01-02 01:30:00-07:00,2004,1,2,1,30,3,0,0,0,3.9
2004-01-02 02:30:00-07:00,2004,1,2,2,30,3,0,0,0,3.8
2004-01-02 03:30:00-07:00,2004,1,2,3,30,3,0,0,0,3.6
2004-01-02 04:30:00-07:00,2004,1,2,4,30,3,0,0,0,3.3
2004-01-02 05:30:00-07:00,2004,1,2,5,30,2,0,0,0,2.9
2004-01-02 06:30:00-07:00,2004,1,2,6,30,2,0,0,0,2.8
2004-01-02 07:30:00-07:00,2004,1,2,7,30,4,12,317,21,3.4
2004-01-02 08:30:00-07:00,2004,1,2,8,30,7,75,148,103,4.6
2004-01-02 09:30:00-07:00,2004,1,2,9,30,9,121,359,239,6
2004-01-02 10:30:00-07:00,2004,1,2,10,30,11,50,935,447,7
2004-01-02 11:30:00-07:00,2004,1,2,11,30,12,56,952,509,7.1
2004-01-02 12:30:00-07:00,2004,1,2,12,30,12,56,953,511,6.7
2004-01-02 13:30:00-07:00,2004,1,2,13,30,12,165,417,344,5.9
2004-01-02 14:30:00-07:00,2004,1,2,14,30,11,142,226,218,4.3
2004-01-02 15:30:00-07:00,2004,1,2,15,30,8,38,727,187,2.5
2004-01-02 16:30:00-07:00,2004,1,2,16,30,5,30,0,30,1.7
2004-01-02 17:30:00-07:00,2004,1,2,17,30,3,0,0,0,1.6
2004-01-02 18:30:00-07:00,2004,1,2,18,30,3,0,0,0,1.4
2004-01-02 19:30:00-07:00,2004,1,2,19,30,3,0,0,0,1.1
2004-01-02 20:30:00-07:00,2004,1,2,20,30,3,0,0,0,0.5
2004-01-02 21:30:00-07:00,2004,1,2,21,30,3,0,0,0,0.3
2004-01-02 22:30:00-07:00,2004,1,2,22,30,2,0,0,0,1.2
2004-01-02 23:30:00-07:00,2004,1,2,23,30,1,0,0,0,2.3
2004-01-03 00:30:00-07:00,2004,1,3,0,30,0,0,0,0,2.9
2004-01-03 01:30:00-07:00,2004,1,3,1,30,0,0,0,0,3
2004-01-03 02:30:00-07:00,2004,1,3,2,30,0,0,0,0,2.6
2004-01-03 03:30:00-07:00,2004,1,3,3,30,-1,0,0,0,2.4
2004-01-03 04:30:00-07:00,2004,1,3,4,30,-1,0,0,0,2.5
2004-01-03 05:30:00-07:00,2004,1,3,5,30,-2,0,0,0,2.9
2004-01-03 06:30:00-07:00,2004,1,3,6,30,-2,0,0,0,3.5
2004-01-03 07:30:00-07:00,2004,1,3,7,30,-1,8,0,8,4.5
2004-01-03 08:30:00-07:00,2004,1,3,8,30,0,68,1,69,5.6
2004-01-03 09:30:00-07:00,2004,1,3,9,30,1,125,22,133,6.1
2004-01-03 10:30:00-07:00,2004,1,3,10,30,3,193,170,266,6.1
2004-01-03 11:30:00-07:00,2004,1,3,11,30,5,117,0,117,6.1
2004-01-03 12:30:00-07:00,2004,1,3,12,30,6,222,113,277,6.1
2004-01-03 13:30:00-07:00,2004,1,3,13,30,7,187,60,213,6.1
2004-01-03 14:30:00-07:00,2004,1,3,14,30,6,57,0,57,5.6
2004-01-03 15:30:00-07:00,2004,1,3,15,30,5,79,213,123,4.4
2004-01-03 16:30:00-07:00,2004,1,3,16,30,3,20,0,20,3.3
2004-01-03 17:30:00-07:00,2004,1,3,17,30,1,0,0,0,3.5
2004-01-03 18:30:00-07:00,2004,1,3,18,30,0,0,0,0,3.9
2004-01-03 19:30:00-07:00,2004,1,3,19,30,-1,0,0,0,3.6
2004-01-03 20:30:00-07:00,2004,1,3,20,30,-2,0,0,0,3
2004-01-03 21:30:00-07:00,2004,1,3,21,30,-3,0,0,0,2.7
2004-01-03 22:30:00-07:00,2004,1,3,22,30,-4,0,0,0,2.4
2004-01-03 23:30:00-07:00,2004,1,3,23,30,-4,0,0,0,2.1
2004-01-04 00:30:00-07:00,2004,1,4,0,30,-5,0,0,0,1.7
2004-01-04 01:30:00-07:00,2004,1,4,1,30,-5,0,0,0,1
2004-01-04 02:30:00-07:00,2004,1,4,2,30,-5,0,0,0,0.8
2004-01-04 03:30:00-07:00,2004,1,4,3,30,-5,0,0,0,1.6
2004-01-04 04:30:00-07:00,2004,1,4,4,30,-5,0,0,0,2.2
2004-01-04 05:30:00-07:00,2004,1,4,5,30,-5,0,0,0,2.2
2004-01-04 06:30:00-07:00,2004,1,4,6,30,-6,0,0,0,2
2004-01-04 07:30:00-07:00,2004,1,4,7,30,-5,20,0,20,2.4
2004-01-04 08:30:00-07:00,2004,1,4,8,30,-2,51,686,184,3.4
2004-01-04 09:30:00-07:00,2004,1,4,9,30,0,69,864,353,3.7
2004-01-04 10:30:00-07:00,2004,1,4,10,30,0,77,949,481,3.2
2004-01-04 11:30:00-07:00,2004,1,4,11,30,1,83,978,550,2.4
2004-01-04 12:30:00-07:00,2004,1,4,12,30,1,81,986,555,1.7
2004-01-04 13:30:00-07:00,2004,1,4,13,30,2,75,968,495,1.2
2004-01-04 14:30:00-07:00,2004,1,4,14,30,1,64,912,375,0.7
2004-01-04 15:30:00-07:00,2004,1,4,15,30,0,47,781,211,0.5
2004-01-04 16:30:00-07:00,2004,1,4,16,30,-3,18,400,37,0.7
2004-01-04 17:30:00-07:00,2004,1,4,17,30,-4,0,0,0,1.2
2004-01-04 18:30:00-07:00,2004,1,4,18,30,-4,0,0,0,1.4
2004-01-04 19:30:00-07:00,2004,1,4,19,30,-5,0,0,0,1.4
2004-01-04 20:30:00-07:00,2004,1,4,20,30,-6,0,0,0,1.2
2004-01-04 21:30:00-07:00,2004,1,4,21,30,-6,0,0,0,1.2
2004-01-04 22:30:00-07:00,2004,1,4,22,30,-7,0,0,0,1.1
2004-01-04 23:30:00-07:00,2004,1,4,23,30,-7,0,0,0,0.9
2004-01-05 00:30:00-07:00,2004,1,5,0,30,-8,0,0,0,0.6
2004-01-05 01:30:00-07:00,2004,1,5,1,30,-8,0,0,0,0.5
2004-01-05 02:30:00-07:00,2004,1,5,2,30,-9,0,0,0,1.1
2004-01-05 03:30:00-07:00,2004,1,5,3,30,-9,0,0,0,1.8
2004-01-05 04:30:00-07:00,2004,1,5,4,30,-9,0,0,0,2.4
2004-01-05 05:30:00-07:00,2004,1,5,5,30,-10,0,0,0,2.7
2004-01-05 06:30:00-07:00,2004,1,5,6,30,-10,0,0,0,3
2004-01-05 07:30:00-07:00,2004,1,5,7,30,-8,11,0,11,3.4
2004-01-05 08:30:00-07:00,2004,1,5,8,30,-5,36,793,189,3.5
2004-01-05 09:30:00-07:00,2004,1,5,9,30,-3,47,933,354,3.7
2004-01-05 10:30:00-07:00,2004,1,5,10,30,-1,52,995,477,4.3
2004-01-05 11:30:00-07:00,2004,1,5,11,30,0,55,1019,543,4.6
2004-01-05 12:30:00-07:00,2004,1,5,12,30,0,54,1021,546,4.5
2004-01-05 13:30:00-07:00,2004,1,5,13,30,0,51,998,487,4.3
2004-01-05 14:30:00-07:00,2004,1,5,14,30,0,47,939,371,3.8
2004-01-05 15:30:00-07:00,2004,1,5,15,30,-1,37,813,211,2.7
2004-01-05 16:30:00-07:00,2004,1,5,16,30,-4,17,456,40,1.8
2004-01-05 17:30:00-07:00,2004,1,5,17,30,-5,0,0,0,1.8
2004-01-05 18:30:00-07:00,2004,1,5,18,30,-7,0,0,0,1.6
2004-01-05 19:30:00-07:00,2004,1,5,19,30,-8,0,0,0,1.2
2004-01-05 20:30:00-07:00,2004,1,5,20,30,-8,0,0,0,1.4
2004-01-05 21:30:00-07:00,2004,1,5,21,30,-9,0,0,0,2.1
2004-01-05 22:30:00-07:00,2004,1,5,22,30,-9,0,0,0,2.5
2004-01-05 23:30:00-07:00,2004,1,5,23,30,-10,0,0,0,2.5
2004-01-06 00:30:00-07:00,2004,1,6,0,30,-10,0,0,0,2.1
2004-01-06 01:30:00-07:00,2004,1,6,1,30,-10,0,0,0,1.6
2004-01-06 02:30:00-07:00,2004,1,6,2,30,-11,0,0,0,1
2004-01-06 03:30:00-07:00,2004,1,6,3,30,-11,0,0,0,0.6
2004-01-06 04:30:00-07:00,2004,1,6,4,30,-11,0,0,0,0.4
2004-01-06 05:30:00-07:00,2004,1,6,5,30,-11,0,0,0,0.7
2004-01-06 06:30:00-07:00,2004,1,6,6,30,-11,0,0,0,1.4
2004-01-06 07:30:00-07:00,2004,1,6,7,30,-9,7,0,7,1.9
2004-01-06 08:30:00-07:00,2004,1,6,8,30,-6,75,91,93,1.7
2004-01-06 09:30:00-07:00,2004,1,6,9,30,-3,141,160,194,1.3
2004-01-06 10:30:00-07:00,2004,1,6,10,30,-1,188,250,295,1.2
2004-01-06 11:30:00-07:00,2004,1,6,11,30,0,202,357,373,1.4
2004-01-06 12:30:00-07:00,2004,1,6,12,30,1,70,930,521,1.9
2004-01-06 13:30:00-07:00,2004,1,6,13,30,1,64,914,465,2.5
2004-01-06 14:30:00-07:00,2004,1,6,14,30,0,59,841,351,3
2004-01-06 15:30:00-07:00,2004,1,6,15,30,0,60,481,164,3.2
2004-01-06 16:30:00-07:00,2004,1,6,16,30,-2,19,201,30,3
2004-01-06 17:30:00-07:00,2004,1,6,17,30,-3,0,0,0,2.8
2004-01-06 18:30:00-07:00,2004,1,6,18,30,-3,0,0,0,2.5
2004-01-06 19:30:00-07:00,2004,1,6,19,30,-4,0,0,0,2.2
2004-01-06 20:30:00-07:00,2004,1,6,20,30,-4,0,0,0,1.7
2004-01-06 21:30:00-07:00,2004,1,6,21,30,-4,0,0,0,1.2
2004-01-06 22:30:00-07:00,2004,1,6,22,30,-4,0,0,0,1
2004-01-06 23:30:00-07:00,2004,1,6,23,30,-4,0,0,0,0.8
2004-01-07 00:30:00-07:00,2004,1,7,0,30,-4,0,0,0,1
2004-01-07 01:30:00-07:00,2004,1,7,1,30,-3,0,0,0,1.5
2004-01-07 02:30:00-07:00,2004,1,7,2,30,-2,0,0,0,1.7
2004-01-07 03:30:00-07:00,2004,1,7,3,30,-1,0,0,0,2.1
2004-01-07 04:30:00-07:00,2004,1,7,4,30,0,0,0,0,2.7
2004-01-07 05:30:00-07:00,2004,1,7,5,30,0,0,0,0,3.1
2004-01-07 06:30:00-07:00,2004,1,7,6,30,0,0,0,0,3
2004-01-07 07:30:00-07:00,2004,1,7,7,30,1,15,0,15,2.7
2004-01-07 08:30:00-07:00,2004,1,7,8,30,3,69,279,123,2.2
2004-01-07 09:30:00-07:00,2004,1,7,9,30,5,129,317,234,1.6
2004-01-07 10:30:00-07:00,2004,1,7,10,30,6,192,229,290,1.2
2004-01-07 11:30:00-07:00,2004,1,7,11,30,8,196,396,387,1.1
2004-01-07 12:30:00-07:00,2004,1,7,12,30,9,65,923,514,1
2004-01-07 13:30:00-07:00,2004,1,7,13,30,10,172,403,350,0.8
2004-01-07 14:30:00-07:00,2004,1,7,14,30,9,120,444,275,0.5
2004-01-07 15:30:00-07:00,2004,1,7,15,30,6,61,481,166,0.4
2004-01-07 16:30:00-07:00,2004,1,7,16,30,4,19,234,33,0.4
2004-01-07 17:30:00-07:00,2004,1,7,17,30,3,0,0,0,0.5
2004-01-07 18:30:00-07:00,2004,1,7,18,30,2,0,0,0,0.8
2004-01-07 19:30:00-07:00,2004,1,7,19,30,2,0,0,0,1.1
2004-01-07 20:30:00-07:00,2004,1,7,20,30,1,0,0,0,1.6
2004-01-07 21:30:00-07:00,2004,1,7,21,30,1,0,0,0,2.3
2004-01-07 22:30:00-07:00,2004,1,7,22,30,1,0,0,0,2.9
2004-01-07 23:30:00-07:00,2004,1,7,23,30,0,0,0,0,3.3
2004-01-08 00:30:00-07:00,2004,1,8,0,30,0,0,0,0,3.3
2004-01-08 01:30:00-07:00,2004,1,8,1,30,0,0,0,0,3
2004-01-08 02:30:00-07:00,2004,1,8,2,30,0,0,0,0,2.5
2004-01-08 03:30:00-07:00,2004,1,8,3,30,0,0,0,0,2.1
2004-01-08 04:30:00-07:00,2004,1,8,4,30,0,0,0,0,2
2004-01-08 05:30:00-07:00,2004,1,8,5,30,-1,0,0,0,2
